movie_name,distributor,distributor_film_count,distributor_domestic_ratio,is_domestic,genre,genre_count,is_sequel,holiday_week,holiday_type,release_season,release_year,release_month,release_week,competition_index,runtime_minutes,rating,total_audience,log_total_audience
Prestij Meselesi,CGV Mars,225,0.729,1,"Dram, Müzik",2,0,0,none,Winter,2023,2,5,8,121.0,0,100506,11.517972706191742
Musallat 3,CJ ENM,141,0.716,1,Korku,1,1,0,none,Winter,2023,2,5,8,90.0,0,98858,11.501439756027136
Sevda Mecburi İstikamet,CJ ENM,141,0.716,1,Dram,1,0,1,yilbasi,Winter,2023,1,1,12,97.0,0,95678,11.468743665955952
Shazam! Tanrıların Öfkesi,WB,123,0.089,0,"Macera, Komedi, Aksiyon",3,0,0,none,Spring,2023,3,11,7,130.0,0,92456,11.434488134655275
Hep Yek: Düğün,TME,181,0.343,1,Komedi,1,0,0,none,Fall,2023,10,40,10,87.0,0,102516,11.53777416293962
Ruhlar Bölgesi: Kırmızı Kapı,TME,181,0.343,0,"Korku, Gerilim",2,0,0,none,Summer,2023,7,27,5,107.0,0,88140,11.386681738395978
Indiana Jones ve Kader Kadranı,UIP,271,0.137,0,"Macera, Aksiyon, IMAX",3,0,1,kurban_bayrami,Summer,2023,6,26,6,154.0,0,87499,11.37938264370897
Dolunay Katilleri,UIP,271,0.137,0,"Dram, Tarihi, Suç",3,0,0,none,Fall,2023,10,42,10,206.0,0,81815,11.312215879862997
Benim Tatlı Diş Perim,CJ ENM,141,0.716,0,"Macera, Komedi, Animasyon",3,0,0,none,Winter,2023,1,3,12,85.0,0,79350,11.281623725954557
Adalet 3: Son,TME,181,0.343,0,"Gerilim, Suç, Aksiyon",3,1,1,30_agustos,Fall,2023,9,35,8,109.0,0,78334,11.26873701506027
Muhteşem Kedi Maurice,Bir Film,65,0.277,0,"Animasyon, Aile, 3 Boyutlu",3,0,0,none,Winter,2023,1,3,12,86.0,0,68700,11.13750447821044
Maşa ile Koca Ayı: Sonsuz Eğlence,CGV Mars,225,0.729,0,Animasyon,1,0,0,none,Fall,2023,11,47,9,75.0,0,72811,11.195622321671587
Son Akşam Yemeği,TME,181,0.343,1,"Dram, Tarihi",2,0,1,29_ekim,Fall,2023,10,43,10,119.0,0,77907,11.263271086615104
49,CGV Mars,225,0.729,1,"Dram, Aksiyon",2,0,0,none,Winter,2023,1,3,12,120.0,0,66334,11.102457865239272
Zindanlar ve Ejderhalar: Hırsızlar Arasında Onur,UIP,271,0.137,0,"Macera, Fantastik",2,0,0,none,Spring,2023,4,14,7,134.0,3,65235,11.085751413699848
"Haile 2: Var mı, Yok mu?!",CGV Mars,225,0.729,1,Korku,1,1,0,none,Winter,2023,12,49,8,86.0,4,65520,11.090110718526953
Öğretmen,TME,181,0.343,1,Komedi,1,0,0,none,Fall,2023,10,42,10,134.0,0,76239,11.24162842176777
Exorcist: İnançlı,UIP,271,0.137,0,Korku,1,0,0,none,Fall,2023,10,40,10,111.0,3,61604,11.028482082478355
Mumyalar,WB,123,0.089,0,Animasyon,1,0,0,none,Winter,2023,2,5,8,89.0,0,58653,10.9793940036686
Blue Beetle,TME,181,0.343,0,"Macera, Bilim-Kurgu, Aksiyon, IMAX",4,0,0,none,Summer,2023,8,33,4,127.0,3,57985,10.967939635390804
Küçük Deniz Kızı,UIP,271,0.137,0,"Macera, Aile",2,0,0,none,Spring,2023,5,21,4,134.0,0,57310,10.956230407545783
Gizemli Ada Mençuna,CGV Mars,225,0.729,1,"Macera, Komedi, Aile",3,0,0,none,Spring,2023,4,14,7,102.0,0,56571,10.943251765395033
Megan,UIP,271,0.137,0,"Korku, Gerilim, Bilim-Kurgu",3,0,0,none,Winter,2023,1,2,12,102.0,0,54439,10.904836087750256
Genç Deniz Canavarı Ruby,UIP,271,0.137,0,"Komedi, Animasyon, Aksiyon",3,0,1,kurban_bayrami,Summer,2023,6,26,6,90.0,0,54102,10.898626432727962
Ainbo: Amazon'da Büyük Macera,CGV Mars,225,0.729,0,Animasyon,1,0,0,none,Winter,2023,1,4,12,84.0,0,53957,10.895942712037812
Creed III: Efsane Devam Ediyor,WB,123,0.089,0,"Macera, Dram, Spor",3,1,0,none,Spring,2023,3,9,7,117.0,0,52421,10.867062553383729
Karlar Kralı Norm 3: Aile Tatili,CGV Mars,225,0.729,0,Animasyon,1,1,0,none,Spring,2023,3,11,7,90.0,0,51288,10.845212085667091
Konuş Benimle,Bir Film,65,0.277,0,"Korku, Gerilim",2,0,1,30_agustos,Fall,2023,9,35,8,94.0,4,50477,10.829273065972073
Hayat,Bir Film,65,0.277,1,Dram,1,0,0,none,Winter,2023,12,50,8,193.0,3,83904,11.337428567123371
Şeytanın Düşmanı,TME,181,0.343,0,"Korku, Gerilim",2,0,0,none,Spring,2023,5,18,4,103.0,0,49351,10.806713308080846
Çocuk ve Balıkçıl,Başka S.,8,0.125,0,"Macera, Animasyon, Dram",3,0,1,29_ekim,Fall,2023,10,43,10,124.0,0,62587,11.044312867790632
Mavka: Ormanın Şarkısı,Bir Film,65,0.277,0,Animasyon,1,0,1,29_ekim,Fall,2023,10,43,10,87.0,0,48395,10.787151781583187
Babil,UIP,271,0.137,0,Dram,1,0,0,none,Winter,2023,1,3,12,189.0,4,46342,10.743803956312696
Alem-i Cin 4,CJ ENM,141,0.716,1,Korku,1,1,1,ramazan_bayrami,Spring,2023,4,16,7,81.0,0,45351,10.722187506016818
Meksika Açmazı,TME,181,0.343,1,Komedi,1,0,0,none,Fall,2023,11,46,9,91.0,3,43725,10.685675299886803
65,TME,181,0.343,0,"Gerilim, Bilim-Kurgu",2,0,0,none,Spring,2023,3,10,7,93.0,0,43546,10.681573129612264
Balina,Bir Film,65,0.277,0,Dram,1,0,0,none,Winter,2023,2,6,8,117.0,4,43468,10.679780314182745
Winnie the Pooh: Kan ve Bal,CJ ENM,141,0.716,0,Korku,1,0,0,none,Winter,2023,2,7,8,84.0,4,43211,10.673850371449207
BTS: Yet to Come in Cinemas,CGV Mars,225,0.729,0,"Belgesel, Konser, Müzik",3,0,0,none,Winter,2023,2,5,8,104.0,3,42162,10.649274620420252
Yaratıcı,UIP,271,0.137,0,"Bilim-Kurgu, Dram, Romantik",3,0,0,none,Fall,2023,9,39,8,133.0,0,41795,10.640531994133257
Gran Turismo,TME,181,0.343,0,"Macera, Dram, Spor, Aksiyon",4,0,0,none,Summer,2023,8,34,4,135.0,0,41633,10.636648401008385
Süper Aile,CGV Mars,225,0.729,0,"Animasyon, Aile",2,0,1,19_mayis,Spring,2023,5,20,4,76.0,0,40119,10.599605316540906
Asteriks ve Oburiks: Orta Krallık,Bir Film,65,0.277,0,"Macera, Komedi, Aile",3,0,0,none,Winter,2023,2,7,8,111.0,0,39577,10.586003420427412
Kahraman Kuyruklar,CJ ENM,141,0.716,0,"Macera, Komedi, Animasyon",3,0,0,none,Spring,2023,3,11,7,95.0,0,37734,10.538316823771558
Venedik'te Cinayet,UIP,271,0.137,0,"Dram, Suç, Gizem, Polisiye",4,0,0,none,Fall,2023,9,37,8,103.0,3,37159,10.522961281909057
Bursa Bülbülü,A90,36,0.806,1,"Komedi, Müzik",2,0,0,none,Fall,2023,10,40,10,120.0,0,36861,10.51490936053568
Rafadan Tayfa 4: Hayrimatör,TME,181,0.343,1,Animasyon,1,1,1,yilbasi,Winter,2024,12,52,9,91.0,0,2815328,14.850589331418243
Ters Yüz 2,UIP,271,0.137,0,Animasyon,1,1,0,none,Summer,2024,6,24,3,100.0,0,2460436,14.7158491279765
Lohusa,UIP,271,0.137,1,Komedi,1,0,0,none,Winter,2024,1,3,12,118.0,0,2128345,14.570855240363136
Kolpaçino 4 4'lük,A90,36,0.806,1,Komedi,1,0,0,none,Winter,2024,1,2,12,95.0,3,2115894,14.564987976187597
Deadpool & Wolverine,UIP,271,0.137,0,"Komedi, Bilim-Kurgu, Aksiyon, 3 Boyutlu, IMAX",5,0,0,none,Summer,2024,7,30,2,127.0,0,1447312,14.185218600892366
Çılgın Hırsız 4,UIP,271,0.137,0,"Macera, Komedi, Animasyon",3,1,0,none,Summer,2024,7,27,2,95.0,0,1085784,13.897812864666154
Moana 2,UIP,271,0.137,0,"Macera, Komedi, Animasyon",3,1,0,none,Fall,2024,11,48,13,100.0,0,1041512,13.856184061460285
3391 Kilometre,A90,36,0.806,1,"Dram, Gençlik, Romantik",3,0,0,none,Winter,2024,1,2,12,109.0,0,926277,13.738928604965157
Kung Fu Panda 4,UIP,271,0.137,0,"Macera, Animasyon, Aksiyon",3,1,0,none,Spring,2024,4,14,12,94.0,0,766872,13.55007518245922
Siccin 7,TME,181,0.343,1,Korku,1,1,0,none,Summer,2024,6,24,3,94.0,0,659531,13.399284255341842
Venom: Son Dans,TME,181,0.343,0,"Macera, Bilim-Kurgu, Aksiyon",3,0,0,none,Fall,2024,10,43,8,110.0,3,621374,13.33968843406154
Kral Şakir: Devler Uyandı,CJ ENM,141,0.716,1,Animasyon,1,0,0,none,Winter,2024,2,7,11,85.0,0,610627,13.322241577106473
Rafadan Tayfa: Kapadokya,TME,181,0.343,1,"Macera, Animasyon, Aile",3,0,1,yilbasi,Winter,2024,12,52,9,84.0,0,2309785,14.652665004573286
Dune: Çöl Gezegeni Bölüm İki,TME,181,0.343,0,"Macera, Bilim-Kurgu, Dram, Aksiyon, IMAX",5,1,0,none,Spring,2024,3,9,4,166.0,3,592270,13.29171789097386
Atatürk 1881 - 1919 (2. Film),CJ ENM,141,0.716,1,"Dram, Tarihi, Biyografi",3,0,1,yilbasi,Winter,2024,1,1,12,142.0,0,581393,13.273182227130752
Çakallarla Dans 7,CJ ENM,141,0.716,1,Komedi,1,1,0,none,Winter,2024,12,49,9,108.0,3,647556,13.380960555302575
İllegal Hayatlar: Meclis,CJ ENM,141,0.716,1,Komedi,1,0,1,29_ekim,Fall,2024,11,44,13,115.0,4,506099,13.134487581306123
Mutluyuz,CJ ENM,141,0.716,1,Komedi,1,0,1,yilbasi,Winter,2024,12,52,9,95.0,0,450751,13.018670359587784
Kardeş Takımı,CJ ENM,141,0.716,1,"Komedi, Aile",2,0,0,none,Winter,2024,1,3,12,94.0,0,450588,13.01830867546721
Pırıl: Sayıların Gizemi,CJ ENM,141,0.716,1,Animasyon,1,0,0,none,Fall,2024,10,40,8,74.0,0,426504,12.963377024533433
Maymunlar Cehennemi: Yeni Krallık,UIP,271,0.137,0,"Bilim-Kurgu, Aksiyon, IMAX",3,0,0,none,Spring,2024,5,19,5,145.0,0,416931,12.940676019463762
Mustafa,A90,36,0.806,1,"Animasyon, Biyografi",2,0,0,none,Fall,2024,10,43,8,87.0,0,395118,12.886939733448305
Gladyatör 2,UIP,271,0.137,0,"Macera, Dram, Aksiyon",3,1,0,none,Fall,2024,11,46,13,147.0,0,362460,12.800669402360842
Joker: İkili Delilik,TME,181,0.343,0,"Dram, Müzikal, Suç, Aksiyon, IMAX",5,0,0,none,Fall,2024,10,40,8,138.0,0,344604,12.750151210669657
0000 Kilometre,A90,36,0.806,1,"Dram, Gençlik",2,0,1,29_ekim,Fall,2024,11,44,13,110.0,0,299839,12.611000942914574
Vahşi Robot,UIP,271,0.137,0,Animasyon,1,0,0,none,Fall,2024,11,45,13,101.0,0,285942,12.56354427203306
Godzilla ve Kong: Yeni İmparatorluk,TME,181,0.343,0,"Macera, Aksiyon",2,0,0,none,Spring,2024,4,14,12,115.0,3,283745,12.55583122647712
Zaferin Rengi,A90,36,0.806,1,"Dram, Tarihi",2,0,0,none,Winter,2024,2,7,11,157.0,0,268835,12.501853087488096
Hatıran Yeter,CJ ENM,141,0.716,1,"Dram, Romantik",2,0,0,none,Winter,2024,2,7,11,143.0,0,267330,12.496239129274874
Bir Cumhuriyet Şarkısı,CJ ENM,141,0.716,1,"Dram, Tarihi",2,0,0,none,Fall,2024,10,43,8,129.0,0,246947,12.416929017686842
Kaptan Pengu ve Arkadaşları 4: Buzuldaki Sır,TME,181,0.343,1,"Macera, Animasyon",2,1,0,none,Summer,2024,8,32,4,74.0,0,243837,12.404255248255128
Garfield,TME,181,0.343,0,"Macera, Komedi, Animasyon",3,0,0,none,Spring,2024,5,22,5,101.0,0,237151,12.376452348037295
Efsane,CJ ENM,141,0.716,1,Komedi,1,0,0,none,Winter,2024,2,5,11,107.0,0,223955,12.319200417798362
Cem Karaca'nın Gözyaşları,TME,181,0.343,1,"Dram, Biyografi",2,0,0,none,Winter,2024,1,4,12,123.0,0,220938,12.30563739815392
Zavallılar,UIP,271,0.137,0,"Bilim-Kurgu, Romantik",2,0,0,none,Winter,2024,2,6,11,143.0,4,213715,12.27239863070165
Cadı,A90,36,0.806,1,"Gerilim, Dram, Tarihi, Gizem",4,0,1,23_nisan,Spring,2024,4,17,12,134.0,0,205830,12.234805864353046
Erdal ile Ece,CJ ENM,141,0.716,1,Komedi,1,0,0,none,Winter,2024,2,8,11,107.0,3,185122,12.12877034617208
Elif ve Arkadaşları 2: Perişler,TME,181,0.343,1,Animasyon,1,1,0,none,Fall,2024,10,43,8,77.0,0,183835,12.121793895149624
Gelin Takımı,A90,36,0.806,1,Komedi,1,0,0,none,Fall,2024,10,42,8,110.0,0,176673,12.082055845274237
C Takımı,CGV Mars,225,0.729,1,Komedi,1,0,0,none,Winter,2024,2,7,11,112.0,3,155227,11.952643840672556
Nasreddin Hoca Zaman Yolcusu: Kadim Medeniyetler,TME,181,0.343,1,"Macera, Animasyon, Aile",3,0,0,none,Winter,2024,12,49,9,78.0,0,158442,11.973143874731164
Ördeklerin Göçü,UIP,271,0.137,0,"Macera, Komedi, Animasyon, 3 Boyutlu",4,0,0,none,Winter,2024,1,3,12,83.0,0,140349,11.851887456720114
Beterböcek Beterböcek,TME,181,0.343,0,"Korku, Komedi, Fantastik",3,0,0,none,Fall,2024,9,36,5,104.0,3,133130,11.799081373425963
Sessiz Bir Yer: Birinci Gün,UIP,271,0.137,0,"Korku, Bilim-Kurgu, Dram, IMAX",4,0,0,none,Summer,2024,6,26,3,100.0,0,130341,11.777909372098769
Tarot,TME,181,0.343,0,Korku,1,0,1,1_mayis,Spring,2024,5,18,5,92.0,0,122982,11.719793282182184
Furiosa: Bir Mad Max Destanı,TME,181,0.343,0,"Macera, Bilim-Kurgu, Aksiyon",3,0,0,none,Spring,2024,5,21,5,148.0,0,120508,11.69947141975062
Alien: Romulus,UIP,271,0.137,0,"Korku, Bilim-Kurgu",2,0,0,none,Summer,2024,8,33,4,118.0,0,119162,11.688239190842124
Tay 2: Ebabil Takımı,CJ ENM,141,0.716,1,Animasyon,1,1,0,none,Winter,2024,1,2,12,78.0,0,118242,11.680488650788638
Terrifier 3,CGV Mars,225,0.729,0,Korku,1,1,0,none,Fall,2024,11,47,13,125.0,4,116963,11.669612924449456
Mufasa: Aslan Kral,UIP,271,0.137,0,"Macera, Animasyon, Dram, 3 Boyutlu",4,0,0,none,Winter,2024,12,51,9,120.0,0,142167,11.864757701908898
Üç Harfliler: Nazar,TME,181,0.343,1,Korku,1,0,1,ramazan_bayrami,Spring,2024,4,15,12,98.0,0,100544,11.518350721615294
Hep Yek: Aşiret,CGV Mars,225,0.729,1,Komedi,1,0,0,none,Spring,2024,4,14,12,86.0,0,99246,11.505356895470277
Dedemin Gözyaşları,TME,181,0.343,1,Dram,1,0,0,none,Fall,2024,9,38,5,116.0,0,98437,11.49717202862411
Ekip: Siberay - Güneş Fırtınası,A90,36,0.806,1,"Macera, Animasyon",2,0,0,none,Spring,2024,4,14,12,72.0,0,91706,11.426343086856512
Hain,A90,36,0.806,1,"Macera, Gerilim, Suç, Gizem",4,0,0,none,Winter,2024,12,50,9,113.0,0,101602,11.52881849897214
Afacanlar Kampta,A90,36,0.806,1,"Komedi, Aile",2,0,0,none,Winter,2024,1,3,12,87.0,0,81224,11.30496604898106
Bad Boys: Ya Hep Ya Hiç,TME,181,0.343,0,"Komedi, Aksiyon",2,0,0,none,Summer,2024,6,23,3,110.0,0,78584,11.271923395354705
Gülümse 2,UIP,271,0.137,0,"Korku, Gerilim, Gizem",3,1,0,none,Fall,2024,10,42,8,127.0,4,75184,11.227693721342597
Mukadderat,A90,36,0.806,1,"Komedi, Dram",2,0,0,none,Fall,2024,11,48,13,92.0,0,97952,11.49223284174514
Meraklı Kedinin 10 Yaşamı,CGV Mars,225,0.729,0,Animasyon,1,0,0,none,Spring,2024,4,16,12,88.0,0,73834,11.209574609103823
Dublör,UIP,271,0.137,0,"Komedi, Aksiyon",2,0,1,23_nisan,Spring,2024,4,17,12,127.0,0,68293,11.13156255128749
Transformers: Başlangıç,UIP,271,0.137,0,"Macera, Animasyon, Aksiyon",3,0,0,none,Fall,2024,9,38,5,104.0,0,64254,11.07059925762893
Arıcı: Ölüm Kovanı,CGV Mars,225,0.729,0,"Gerilim, Aksiyon",2,0,0,none,Winter,2024,1,2,12,105.0,0,59253,10.989571690626969
Hayalet Avcıları: Ürperti,TME,181,0.343,0,"Komedi, Fantastik, Aksiyon",3,0,0,none,Spring,2024,3,13,4,115.0,0,58587,10.978268107950893
Cesur Panda Görevimiz Afrika,CGV Mars,225,0.729,0,"Macera, Animasyon",2,0,0,none,Fall,2024,10,42,8,86.0,0,57323,10.956457218325502
Kasırgalar,TME,181,0.343,0,"Macera, Gerilim, Aksiyon",3,0,1,15_temmuz,Summer,2024,7,28,2,122.0,0,55418,10.922659729710926
Madame Web,TME,181,0.343,0,"Macera, Bilim-Kurgu, Aksiyon",3,0,0,none,Winter,2024,2,7,11,116.0,3,55311,10.9207270827385
Avcı Kraven,TME,181,0.343,0,"Macera, Bilim-Kurgu, Aksiyon",3,0,0,none,Winter,2024,12,50,9,127.0,0,53148,10.880835753711198
Hayali Arkadaşlar,UIP,271,0.137,0,"Komedi, Aile, Dram",3,0,1,19_mayis,Spring,2024,5,20,5,108.0,0,52430,10.86723422556658
Takıntılar,CJ ENM,141,0.716,1,Komedi,1,0,0,none,Fall,2024,11,46,13,96.0,0,48850,10.79650965747093
Büyük Macera 2: Sürpriz Misafir,CGV Mars,225,0.729,0,Animasyon,1,1,0,none,Winter,2024,1,4,12,90.0,0,49265,10.804969168756577
Niko: Kuzey Işıklarının Ötesinde,Bir Film,65,0.277,0,"Macera, Animasyon",2,0,0,none,Fall,2024,11,45,13,86.0,0,48282,10.784814099374188
Hüddam 4: Ahmer,Bir Film,65,0.277,1,Korku,1,1,0,none,Spring,2024,3,12,4,86.0,0,46071,10.737938963793802
Wicked,UIP,271,0.137,0,"Fantastik, Müzikal, Romantik",3,0,0,none,Fall,2024,11,47,13,161.0,0,46689,10.75126386987312
Küffar,CJ ENM,141,0.716,1,Korku,1,0,0,none,Spring,2024,4,14,12,86.0,0,43222,10.674104903862972
Cambaz,Bir Film,65,0.277,0,"Korku, Gerilim, Suç",3,0,0,none,Fall,2024,9,36,5,101.0,4,42631,10.660336967143056
Hayali,A90,36,0.806,0,Korku,1,0,0,none,Spring,2024,3,10,4,104.0,3,42626,10.660219674721183
Zir-i Cin 3: Cin Düğümü,TME,181,0.343,1,Korku,1,1,0,none,Fall,2024,11,46,13,86.0,4,40192,10.60142324982787
En Sevdiğim Pastam,Başka S.,8,0.125,0,"Komedi, Dram",2,0,0,none,Fall,2024,9,38,5,97.0,0,44944,10.713172549344025
Ziyaretçiler: Bölüm 1,CGV Mars,225,0.729,0,Korku,1,1,1,19_mayis,Spring,2024,5,20,5,91.0,0,38837,10.567128679463297
Yaşam Koçu,CJ ENM,141,0.716,1,Komedi,1,0,0,none,Winter,2024,1,2,12,95.0,0,38511,10.558699193753036
Oflu Hoca 4,CGV Mars,225,0.729,1,Komedi,1,1,0,none,Winter,2024,12,51,9,94.0,0,41677,10.637704696869411
Nemlizade,A90,36,0.806,1,Komedi,1,0,0,none,Fall,2024,11,46,13,100.0,0,37189,10.52376829760896
Harika Kanatlar: Maksimum Hız,CJ ENM,141,0.716,0,Animasyon,1,0,0,none,Winter,2024,2,6,11,89.0,0,36860,10.514882231223812
Bizimle Başladı Bizimle Bitti,TME,181,0.343,0,"Dram, Romantik",2,0,0,none,Summer,2024,8,33,4,130.0,3,36626,10.508513649700896
Geniş Aile 4: Cevahir & Ulvi,CGV Mars,225,0.729,1,"Komedi, Aksiyon",2,1,0,none,Fall,2024,11,47,13,95.0,3,36763,10.51224718358581
Barda,A90,36,0.806,1,"Gerilim, Dram, Suç",3,0,0,none,Fall,2024,11,48,13,99.0,4,36053,10.49274535700381
Rekabet,TME,181,0.343,0,"Dram, Spor, Romantik",3,0,1,23_nisan,Spring,2024,4,17,12,131.0,0,34762,10.456280115123423
Demon: Azab-ül Kem,Bir Film,65,0.277,1,Korku,1,0,1,yilbasi,Winter,2024,1,1,12,96.0,0,33093,10.40707705863749
Sakın Ses Çıkarma,UIP,271,0.137,0,"Korku, Gerilim",2,0,0,none,Fall,2024,9,37,5,110.0,0,32606,10.3922515994996
Hayatla Barış,TME,181,0.343,1,"Dram, Biyografi, Spor",3,0,0,none,Winter,2024,2,8,11,123.0,0,32214,10.380156419650625
The Crow: Ölümsüz,Bir Film,65,0.277,0,"Fantastik, Suç, Aksiyon",3,0,0,none,Summer,2024,8,34,4,111.0,4,31448,10.356090667101697
Öğretmenler Odası,Bir Film,65,0.277,0,Dram,1,0,0,none,Winter,2024,2,5,11,98.0,0,31401,10.354595018522993
İki Gözüm Ahmet - Sürgün,CGV Mars,225,0.729,1,Dram,1,0,0,none,Spring,2024,4,14,12,108.0,3,30273,10.318011505132638
Borderlands,A90,36,0.806,0,"Macera, Komedi, Aksiyon",3,0,0,none,Summer,2024,8,32,4,102.0,0,28764,10.266879884222384
Şımarık,A90,36,0.806,1,"Komedi, Dram, Romantik",3,0,0,none,Winter,2024,12,51,9,110.0,3,29442,10.290177505317958
Küçük Don Kişot'un Maceraları,CJ ENM,141,0.716,0,Animasyon,1,0,1,23_nisan,Spring,2024,4,17,12,87.0,0,28263,10.249308807716778
Son Şarkı - Ahmet'in Türküsü,A90,36,0.806,1,"Dram, Biyografi",2,0,0,none,Spring,2024,3,9,4,104.0,0,27322,10.215447517447432
İyi Bir Aile Değiliz,A90,36,0.806,1,Komedi,1,0,0,none,Winter,2024,2,6,11,97.0,3,27320,10.215374313684729
Arınma,Bir Film,65,0.277,0,Korku,1,0,1,23_nisan,Spring,2024,4,17,12,89.0,0,26489,10.184484831459187
Soyut Dışavurumcu Bir Dostluğun Anatomisi Veyahut Yan Yana,UIP,271,0.137,1,"Komedi, Dram, IMAX",3,0,0,none,Fall,2025,11,46,9,148.0,0,2936079,14.892585575711497
Zootropolis 2,UIP,271,0.137,0,"Macera, Komedi, Animasyon, Aksiyon",4,1,0,none,Fall,2025,11,48,9,108.0,0,1651065,14.316931092206024
Bir Minecraft Filmi,TME,181,0.343,0,"Macera, Aile, Fantastik, Aksiyon, 3 Boyutlu",5,0,0,none,Spring,2025,4,14,4,101.0,0,1007719,13.823199918908646
Uykucu,CGV Mars,225,0.729,1,"Dram, Suç, Aksiyon",3,0,1,29_ekim,Fall,2025,10,44,11,123.0,3,834496,13.634583228783145
Sihirli Annem: Hepimiz Biriz,CGV Mars,225,0.729,1,"Aile, Fantastik",2,0,0,none,Spring,2025,5,22,7,85.0,0,818070,13.614703186495715
Avatar: Ateş ve Kül,UIP,271,0.137,0,"Macera, Bilim-Kurgu, Fantastik, Aksiyon, IMAX",5,0,0,none,Winter,2025,12,51,6,197.0,3,1387640,14.143115020413472
ŞamPİYONlar,A90,36,0.806,1,"Komedi, Aile",2,0,0,none,Winter,2025,1,2,13,94.0,0,702622,13.46257433059236
Kardeş Takımı 2,CJ ENM,141,0.716,1,"Macera, Komedi, Aile",3,1,0,none,Winter,2025,1,2,13,100.0,0,675291,13.422898988064082
Kirpi Sonic 3,UIP,271,0.137,0,"Macera, Aksiyon",2,1,0,none,Winter,2025,1,3,13,109.0,0,618923,13.335736149744967
Kral Şakir: Dünyalar Karıştı,A90,36,0.806,1,"Macera, Animasyon, Aile",3,0,0,none,Fall,2025,11,45,9,88.0,0,575421,13.262857225783971
Kutsal Damacana 5: Zombi,A90,36,0.806,1,Komedi,1,1,0,none,Winter,2025,1,3,13,97.0,3,561730,13.238776586387516
Siccin 8,TME,181,0.343,1,Korku,1,1,1,kurban_bayrami,Summer,2025,6,23,6,104.0,0,527108,13.175160740113816
Karantina,A90,36,0.806,1,"Dram, Gençlik, Romantik",3,0,0,none,Winter,2025,1,2,13,114.0,3,514692,13.151323942485272
Aşk Sadece Bir An,CGV Mars,225,0.729,1,"Dram, Gençlik, Romantik",3,0,0,none,Winter,2025,2,7,8,110.0,3,506873,13.136015758098038
Korku Seansı 4: Son Ayin,TME,181,0.343,0,Korku,1,1,0,none,Fall,2025,9,36,7,136.0,0,497163,13.116673219115922
Akıllı Tavşan Momo: Büyük Takip,CGV Mars,225,0.729,1,"Macera, Animasyon",2,0,0,none,Spring,2025,3,13,8,93.0,0,489961,13.102081075082475
Pırıl: Saklı Robotlar,CJ ENM,141,0.716,1,"Macera, Animasyon",2,0,1,29_ekim,Fall,2025,10,44,11,83.0,0,410940,12.926202497420006
Şirinler Filmi,UIP,271,0.137,0,"Macera, Komedi, Animasyon, Müzikal",4,0,1,15_temmuz,Summer,2025,7,29,4,89.0,0,380940,12.85039716139255
Dayı: Bir Adamın Hikâyesi 2,TME,181,0.343,1,"Macera, Dram, Aksiyon",3,1,0,none,Winter,2025,2,6,8,109.0,3,364388,12.805974512980484
F1 Filmi,TME,181,0.343,0,"Dram, Spor, IMAX",3,0,0,none,Summer,2025,6,26,6,155.0,0,348333,12.760914197774682
Lilo ve Stiç,UIP,271,0.137,0,"Macera, Komedi, Aile, Fantastik, Aksiyon",5,0,0,none,Spring,2025,5,21,7,108.0,0,337917,12.730555582179662
Ejderhanı Nasıl Eğitirsin,UIP,271,0.137,0,"Macera, Aile, Fantastik, Dram",4,0,0,none,Summer,2025,6,24,6,125.0,0,309185,12.641695082228864
Jurassic World: Yeniden Doğuş,UIP,271,0.137,0,"Macera, Gerilim, Bilim-Kurgu, Aksiyon",4,0,0,none,Summer,2025,7,27,4,134.0,3,306284,12.632268055086929
Sihirbazlar Çetesi 3: Daha Bir Şey Görmediniz,TME,181,0.343,0,"Gerilim, Suç",2,1,0,none,Fall,2025,11,46,9,112.0,3,293188,12.588569320462666
Demon Slayer: Kimetsu no Yaiba Sonsuzluk Kalesi,TME,181,0.343,0,"Macera, Animasyon, Fantastik, Aksiyon",4,0,0,none,Fall,2025,9,37,7,155.0,0,255514,12.45103248164528
Freddy'nin Pizza Dükkanında Beş Gece 2,UIP,271,0.137,0,"Korku, Gerilim, Gizem",3,1,0,none,Winter,2025,12,49,6,104.0,0,249873,12.428708067768667
Kaptan Pengu ve Arkadaşları 5,TME,181,0.343,1,"Macera, Animasyon",2,1,0,none,Summer,2025,8,32,5,80.0,0,238773,12.383268588781585
Superman,TME,181,0.343,0,"Macera, Fantastik, Aksiyon",3,0,0,none,Summer,2025,7,28,4,129.0,0,234293,12.364327747822523
Kaptan Amerika: Cesur Yeni Dünya,UIP,271,0.137,0,"Macera, Aksiyon, 3 Boyutlu, IMAX",4,0,0,none,Winter,2025,2,7,8,119.0,0,221015,12.305985851499768
Ayakçı,CGV Mars,225,0.729,1,Komedi,1,0,0,none,Spring,2025,3,13,8,94.0,3,220094,12.301810006806772
Mustafa Kemal,TME,181,0.343,1,"Animasyon, Biyografi",2,0,0,none,Fall,2025,10,41,11,75.0,0,218195,12.293144437361455
Son Durak: Kan Bağı,TME,181,0.343,0,Korku,1,0,1,19_mayis,Spring,2025,5,20,7,110.0,0,216068,12.28334845193733
Bak Postacı Geliyor,CGV Mars,225,0.729,1,"Dram, Romantik",2,0,0,none,Winter,2025,12,50,6,117.0,0,234042,12.363255865413429
